"Target: Cliffside_bridge_raster3, Contains DAT files: APB_546753388ESC16810622452_______M1.DAT"
  482.6  ,     968
  507.0  ,       0
  531.4  ,       0
  555.8  ,       0
  580.2  ,       0
  604.7  ,     111
  629.1  ,       0
  653.5  ,     100
  677.9  ,     137
  702.3  ,     139
  726.7  ,     120
  751.1  ,     131
  775.5  ,     118
  799.9  ,     118
  824.3  ,     127
  848.8  ,     120
  873.2  ,     121
  897.6  ,     133
  922.0  ,     153
  946.4  ,     211
  970.8  ,     248
  995.2  ,     369
 1019.6  ,     506
 1044.0  ,     461
 1068.4  ,     332
 1092.9  ,     266
 1117.3  ,     214
 1141.7  ,     240
 1166.1  ,     453
 1190.5  ,     758
 1214.9  ,    1367
 1239.3  ,    1659
 1263.7  ,    1538
 1288.1  ,     951
 1312.5  ,     570
 1337.0  ,     340
 1361.4  ,     300
 1385.8  ,     491
 1410.2  ,     920
 1434.6  ,    1620
 1459.0  ,    2376
 1483.4  ,    2451
 1507.8  ,    1918
 1532.2  ,    1170
 1556.6  ,     666
 1581.1  ,     464
 1605.5  ,     596
 1629.9  ,    1087
 1654.3  ,    2590
 1678.7  ,    5373
 1703.1  ,    8649
 1727.5  ,   10011
 1751.9  ,    8528
 1776.3  ,    5528
 1800.7  ,    2791
 1825.2  ,    1226
 1849.6  ,     644
 1874.0  ,     429
 1898.4  ,     260
 1922.8  ,     230
 1947.2  ,     225
 1971.6  ,     302
 1996.0  ,     387
 2020.4  ,     347
 2044.8  ,     276
 2069.3  ,     164
 2093.7  ,     131
 2118.1  ,     104
 2142.5  ,      99
 2166.9  ,     154
 2191.3  ,     209
 2215.7  ,     361
 2240.1  ,     677
 2264.5  ,    1021
 2288.9  ,    1285
 2313.4  ,    1152
 2337.8  ,     911
 2362.2  ,     545
 2386.6  ,     259
 2411.0  ,     176
 2435.4  ,     111
 2459.8  ,     158
 2484.2  ,     126
 2508.6  ,     122
 2533.0  ,     123
 2557.5  ,     149
 2581.9  ,     213
 2606.3  ,     236
 2630.7  ,     214
 2655.1  ,     163
 2679.5  ,      85
 2703.9  ,      64
 2728.3  ,      33
 2752.7  ,      41
 2777.1  ,      36
 2801.6  ,      34
 2826.0  ,      41
 2850.4  ,      42
 2874.8  ,      35
 2899.2  ,      53
 2923.6  ,      51
 2948.0  ,      37
 2972.4  ,      30
 2996.8  ,      43
 3021.3  ,      32
 3045.7  ,      36
 3070.1  ,      32
 3094.5  ,      27
 3118.9  ,      26
 3143.3  ,      29
 3167.7  ,      29
 3192.1  ,      38
 3216.5  ,      54
 3240.9  ,      89
 3265.4  ,     112
 3289.8  ,     136
 3314.2  ,     132
 3338.6  ,      92
 3363.0  ,      76
 3387.4  ,      58
 3411.8  ,      41
 3436.2  ,      25
 3460.6  ,      34
 3485.0  ,      44
 3509.5  ,      40
 3533.9  ,      69
 3558.3  ,      90
 3582.7  ,     165
 3607.1  ,     280
 3631.5  ,     390
 3655.9  ,     561
 3680.3  ,     567
 3704.7  ,     500
 3729.1  ,     336
 3753.6  ,     214
 3778.0  ,     134
 3802.4  ,      53
 3826.8  ,      32
 3851.2  ,      27
 3875.6  ,      26
 3900.0  ,      41
 3924.4  ,      49
 3948.8  ,      53
 3973.2  ,      81
 3997.7  ,      92
 4022.1  ,      73
 4046.5  ,      70
 4070.9  ,      49
 4095.3  ,      45
 4119.7  ,      29
 4144.1  ,      14
 4168.5  ,      24
 4192.9  ,      14
 4217.3  ,      17
 4241.8  ,      13
 4266.2  ,      17
 4290.6  ,       8
 4315.0  ,      15
 4339.4  ,      25
 4363.8  ,      17
 4388.2  ,      26
 4412.6  ,      47
 4437.0  ,      70
 4461.4  ,      92
 4485.9  ,     109
 4510.3  ,     106
 4534.7  ,      76
 4559.1  ,      74
 4583.5  ,      52
 4607.9  ,      45
 4632.3  ,      28
 4656.7  ,      33
 4681.1  ,      21
 4705.5  ,      31
 4730.0  ,      20
 4754.4  ,      22
 4778.8  ,      18
 4803.2  ,      19
 4827.6  ,      32
 4852.0  ,      25
 4876.4  ,      22
 4900.8  ,      36
 4925.2  ,      23
 4949.6  ,      23
 4974.1  ,      23
 4998.5  ,      27
 5022.9  ,      23
 5047.3  ,      14
 5071.7  ,      15
 5096.1  ,      19
 5120.5  ,      20
 5144.9  ,      20
 5169.3  ,      14
 5193.7  ,      21
 5218.2  ,      26
 5242.6  ,      22
 5267.0  ,      27
 5291.4  ,      28
 5315.8  ,      31
 5340.2  ,      49
 5364.6  ,      53
 5389.0  ,      46
 5413.4  ,      62
 5437.9  ,      40
 5462.3  ,      32
 5486.7  ,      36
 5511.1  ,      28
 5535.5  ,      24
 5559.9  ,      16
 5584.3  ,      19
 5608.7  ,      25
 5633.1  ,      26
 5657.5  ,      28
 5682.0  ,      21
 5706.4  ,      28
 5730.8  ,      42
 5755.2  ,      58
 5779.6  ,      54
 5804.0  ,     100
 5828.4  ,     114
 5852.8  ,     143
 5877.2  ,     158
 5901.6  ,     152
 5926.1  ,     104
 5950.5  ,      93
 5974.9  ,      53
 5999.3  ,      52
 6023.7  ,      31
 6048.1  ,      54
 6072.5  ,      35
 6096.9  ,      42
 6121.3  ,      61
 6145.7  ,      67
 6170.2  ,      73
 6194.6  ,     122
 6219.0  ,     286
 6243.4  ,     457
 6267.8  ,    1015
 6292.2  ,    1671
 6316.6  ,    2580
 6341.0  ,    3480
 6365.4  ,    4174
 6389.8  ,    4232
 6414.3  ,    3553
 6438.7  ,    2879
 6463.1  ,    1844
 6487.5  ,    1055
 6511.9  ,     513
 6536.3  ,     232
 6560.7  ,     102
 6585.1  ,      50
 6609.5  ,      24
 6633.9  ,      24
 6658.4  ,      19
 6682.8  ,      20
 6707.2  ,      17
 6731.6  ,      17
 6756.0  ,      23
 6780.4  ,      19
 6804.8  ,      37
 6829.2  ,      31
 6853.6  ,      51
 6878.0  ,      73
 6902.5  ,     138
 6926.9  ,     204
 6951.3  ,     301
 6975.7  ,     452
 7000.1  ,     599
 7024.5  ,     694
 7048.9  ,     630
 7073.3  ,     545
 7097.7  ,     408
 7122.1  ,     285
 7146.6  ,     181
 7171.0  ,      93
 7195.4  ,      40
 7219.8  ,      29
 7244.2  ,      16
 7268.6  ,       8
 7293.0  ,       3
 7317.4  ,       7
 7341.8  ,      12
 7366.2  ,      18
 7390.7  ,      23
 7415.1  ,      25
 7439.5  ,      30
 7463.9  ,      27
 7488.3  ,      27
 7512.7  ,      18
 7537.1  ,      16
 7561.5  ,      19
 7585.9  ,      15
 7610.3  ,      12
 7634.8  ,       6
 7659.2  ,       6
 7683.6  ,       5
 7708.0  ,       8
 7732.4  ,       4
 7756.8  ,       6
 7781.2  ,       3
 7805.6  ,       9
 7830.0  ,      12
 7854.5  ,      10
 7878.9  ,       7
 7903.3  ,       9
 7927.7  ,      13
 7952.1  ,      13
 7976.5  ,       8
 8000.9  ,      12
 8025.3  ,      10
 8049.7  ,       5
 8074.1  ,       7
 8098.6  ,       8
 8123.0  ,       6
 8147.4  ,      11
 8171.8  ,      11
 8196.2  ,      14
 8220.6  ,      10
 8245.0  ,      12
 8269.4  ,      11
 8293.8  ,       9
 8318.2  ,      11
 8342.7  ,       8
 8367.1  ,       3
 8391.5  ,       9
 8415.9  ,       7
 8440.3  ,       9
 8464.7  ,      24
 8489.1  ,      31
 8513.5  ,      38
 8537.9  ,      44
 8562.3  ,      70
 8586.8  ,      73
 8611.2  ,      78
 8635.6  ,      70
 8660.0  ,      71
 8684.4  ,      58
 8708.8  ,      46
 8733.2  ,      26
 8757.6  ,      19
 8782.0  ,       7
 8806.4  ,       7
 8830.9  ,      10
 8855.3  ,       7
 8879.7  ,      10
 8904.1  ,      12
 8928.5  ,       9
 8952.9  ,       2
 8977.3  ,       9
 9001.7  ,       3
 9026.1  ,       6
 9050.5  ,       6
 9075.0  ,       6
 9099.4  ,      11
 9123.8  ,      10
 9148.2  ,       3
 9172.6  ,       9
 9197.0  ,      10
 9221.4  ,      12
 9245.8  ,      12
 9270.2  ,      14
 9294.6  ,       9
 9319.1  ,       7
 9343.5  ,      11
 9367.9  ,       6
 9392.3  ,       7
 9416.7  ,       4
 9441.1  ,      11
 9465.5  ,      16
 9489.9  ,      15
 9514.3  ,      14
 9538.7  ,      13
 9563.2  ,      28
 9587.6  ,      22
 9612.0  ,       9
 9636.4  ,      15
 9660.8  ,      17
 9685.2  ,      13
 9709.6  ,      10
 9734.0  ,      11
 9758.4  ,      10
 9782.8  ,       8
 9807.3  ,      10
 9831.7  ,      11
 9856.1  ,      10
 9880.5  ,      14
 9904.9  ,      13
 9929.3  ,      10
 9953.7  ,      12
 9978.1  ,       4
10002.5  ,       8
10026.9  ,      11
10051.4  ,      12
10075.8  ,       9
10100.2  ,       5
10124.6  ,       3
10149.0  ,       4
10173.4  ,       5
10197.8  ,       7
10222.2  ,       6
10246.6  ,       6
10271.1  ,       7
10295.5  ,       9
10319.9  ,       6
10344.3  ,       9
10368.7  ,       7
10393.1  ,      15
10417.5  ,       8
10441.9  ,       9
10466.3  ,       8
10490.7  ,      14
10515.2  ,      11
10539.6  ,      13
10564.0  ,       7
10588.4  ,       5
10612.8  ,       8
10637.2  ,      15
10661.6  ,       5
10686.0  ,       6
10710.4  ,       9
10734.8  ,       8
10759.3  ,       3
10783.7  ,       2
10808.1  ,      10
10832.5  ,      11
10856.9  ,       9
10881.3  ,      10
10905.7  ,      11
10930.1  ,       4
10954.5  ,       6
10978.9  ,      11
11003.4  ,      15
11027.8  ,       9
11052.2  ,      10
11076.6  ,      13
11101.0  ,       8
11125.4  ,      10
11149.8  ,       9
11174.2  ,      10
11198.6  ,      13
11223.0  ,      14
11247.5  ,      10
11271.9  ,       8
11296.3  ,       8
11320.7  ,      12
11345.1  ,       9
11369.5  ,      12
11393.9  ,      10
11418.3  ,       7
11442.7  ,      10
11467.1  ,       5
11491.6  ,      10
11516.0  ,      11
11540.4  ,      15
11564.8  ,       6
11589.2  ,      11
11613.6  ,      12
11638.0  ,       7
11662.4  ,      11
11686.8  ,      11
11711.2  ,      17
11735.7  ,      15
11760.1  ,      19
11784.5  ,      28
11808.9  ,      20
