"Target: Barberton_raster2, Contains DAT files: APB_563087639ESC18650661994_______M1.DAT"
  480.5  ,    1200
  504.9  ,       0
  529.4  ,       0
  553.8  ,       0
  578.3  ,       0
  602.7  ,     111
  627.1  ,      99
  651.6  ,     139
  676.0  ,     166
  700.4  ,     168
  724.9  ,     182
  749.3  ,     156
  773.8  ,     184
  798.2  ,     118
  822.6  ,     143
  847.1  ,     154
  871.5  ,     164
  895.9  ,     196
  920.4  ,     182
  944.8  ,     223
  969.3  ,     289
  993.7  ,     449
 1018.1  ,     661
 1042.6  ,     568
 1067.0  ,     472
 1091.4  ,     303
 1115.9  ,     249
 1140.3  ,     279
 1164.8  ,     412
 1189.2  ,     812
 1213.6  ,    1340
 1238.1  ,    1719
 1262.5  ,    1577
 1286.9  ,    1043
 1311.4  ,     549
 1335.8  ,     370
 1360.3  ,     334
 1384.7  ,     535
 1409.1  ,    1047
 1433.6  ,    2118
 1458.0  ,    3201
 1482.4  ,    3541
 1506.9  ,    2545
 1531.3  ,    1584
 1555.8  ,     799
 1580.2  ,     556
 1604.6  ,     632
 1629.1  ,    1148
 1653.5  ,    2919
 1677.9  ,    6671
 1702.4  ,   11062
 1726.8  ,   13594
 1751.3  ,   11565
 1775.7  ,    7140
 1800.1  ,    3406
 1824.6  ,    1420
 1849.0  ,     733
 1873.4  ,     477
 1897.9  ,     276
 1922.3  ,     203
 1946.8  ,     192
 1971.2  ,     211
 1995.6  ,     270
 2020.1  ,     233
 2044.5  ,     184
 2068.9  ,     134
 2093.4  ,     113
 2117.8  ,      90
 2142.3  ,     104
 2166.7  ,     117
 2191.1  ,     192
 2215.6  ,     325
 2240.0  ,     676
 2264.4  ,     940
 2288.9  ,    1227
 2313.3  ,    1170
 2337.8  ,     851
 2362.2  ,     458
 2386.6  ,     262
 2411.1  ,     131
 2435.5  ,     124
 2459.9  ,     137
 2484.4  ,     136
 2508.8  ,     117
 2533.3  ,     117
 2557.7  ,     172
 2582.1  ,     240
 2606.6  ,     289
 2631.0  ,     260
 2655.4  ,     178
 2679.9  ,     133
 2704.3  ,      83
 2728.8  ,      49
 2753.2  ,      57
 2777.6  ,      47
 2802.1  ,      45
 2826.5  ,      57
 2851.0  ,      44
 2875.4  ,      46
 2899.8  ,      61
 2924.3  ,      57
 2948.7  ,      53
 2973.1  ,      59
