"Target: Haroldswick_Raster4, Contains DAT files: APB_568049766ESC19210671762_______M1.DAT"
  483.6  ,     900
  508.0  ,       0
  532.4  ,       0
  556.8  ,       0
  581.1  ,       0
  605.5  ,     111
  629.9  ,       0
  654.3  ,      44
  678.7  ,     183
  703.1  ,     180
  727.4  ,     165
  751.8  ,     177
  776.2  ,     169
  800.6  ,     169
  825.0  ,     170
  849.4  ,     166
  873.7  ,     191
  898.1  ,     176
  922.5  ,     205
  946.9  ,     256
  971.3  ,     343
  995.7  ,     513
 1020.0  ,     611
 1044.4  ,     630
 1068.8  ,     491
 1093.2  ,     365
 1117.6  ,     349
 1142.0  ,     372
 1166.3  ,     557
 1190.7  ,    1035
 1215.1  ,    1383
 1239.5  ,    1650
 1263.9  ,    1594
 1288.3  ,    1132
 1312.6  ,     742
 1337.0  ,     511
 1361.4  ,     525
 1385.8  ,     831
 1410.2  ,    1546
 1434.6  ,    2429
 1459.0  ,    3292
 1483.3  ,    3586
 1507.7  ,    2932
 1532.1  ,    1941
 1556.5  ,    1136
 1580.9  ,     886
 1605.3  ,    1100
 1629.6  ,    2164
 1654.0  ,    4452
 1678.4  ,    8084
 1702.8  ,   12169
 1727.2  ,   13784
 1751.6  ,   12283
 1775.9  ,    8454
 1800.3  ,    4793
 1824.7  ,    2360
 1849.1  ,    1119
 1873.5  ,     571
 1897.9  ,     339
 1922.2  ,     237
 1946.6  ,     212
 1971.0  ,     205
 1995.4  ,     238
 2019.8  ,     227
 2044.2  ,     189
 2068.5  ,     129
 2092.9  ,     106
 2117.3  ,      66
 2141.7  ,      81
 2166.1  ,     101
 2190.5  ,     116
 2214.8  ,     194
 2239.2  ,     340
 2263.6  ,     499
 2288.0  ,     589
 2312.4  ,     566
 2336.8  ,     466
 2361.2  ,     284
 2385.5  ,     189
 2409.9  ,     107
 2434.3  ,      74
 2458.7  ,      89
 2483.1  ,      85
 2507.5  ,      97
 2531.8  ,     158
 2556.2  ,     199
 2580.6  ,     255
 2605.0  ,     284
 2629.4  ,     309
 2653.8  ,     208
 2678.1  ,     157
 2702.5  ,      92
 2726.9  ,      51
 2751.3  ,      41
 2775.7  ,      39
 2800.1  ,      52
 2824.4  ,      55
 2848.8  ,      53
 2873.2  ,      49
 2897.6  ,      43
 2922.0  ,      45
 2946.4  ,      47
 2970.7  ,      32
 2995.1  ,      36
 3019.5  ,      36
 3043.9  ,      24
 3068.3  ,      38
 3092.7  ,      27
 3117.0  ,      20
 3141.4  ,      28
 3165.8  ,      37
 3190.2  ,      45
 3214.6  ,      60
 3239.0  ,     107
 3263.4  ,     145
 3287.7  ,     187
 3312.1  ,     180
 3336.5  ,     153
 3360.9  ,     111
 3385.3  ,      93
 3409.7  ,      63
 3434.0  ,      43
 3458.4  ,      36
 3482.8  ,      35
 3507.2  ,      62
 3531.6  ,      58
 3556.0  ,      84
 3580.3  ,     129
 3604.7  ,     203
 3629.1  ,     291
 3653.5  ,     333
 3677.9  ,     350
 3702.3  ,     338
 3726.6  ,     247
 3751.0  ,     191
 3775.4  ,     119
 3799.8  ,      63
 3824.2  ,      27
 3848.6  ,      34
 3872.9  ,      33
 3897.3  ,      28
 3921.7  ,      41
 3946.1  ,      38
 3970.5  ,      55
 3994.9  ,      56
 4019.2  ,      74
 4043.6  ,      58
 4068.0  ,      46
 4092.4  ,      30
 4116.8  ,      30
 4141.2  ,      27
 4165.5  ,      17
 4189.9  ,      16
 4214.3  ,      17
 4238.7  ,      27
 4263.1  ,      18
 4287.5  ,      11
 4311.9  ,      20
 4336.2  ,      28
 4360.6  ,      26
 4385.0  ,      49
 4409.4  ,      54
 4433.8  ,      63
 4458.2  ,      90
 4482.5  ,     119
 4506.9  ,     106
 4531.3  ,     103
 4555.7  ,      81
 4580.1  ,      59
 4604.5  ,      51
 4628.8  ,      47
 4653.2  ,      55
 4677.6  ,      41
 4702.0  ,      36
 4726.4  ,      23
 4750.8  ,      27
 4775.1  ,      33
 4799.5  ,      30
 4823.9  ,      25
 4848.3  ,      30
 4872.7  ,      31
 4897.1  ,      30
 4921.4  ,      43
 4945.8  ,      38
 4970.2  ,      37
 4994.6  ,      23
 5019.0  ,      24
 5043.4  ,      22
 5067.7  ,      22
 5092.1  ,      20
 5116.5  ,      21
 5140.9  ,      18
 5165.3  ,      23
 5189.7  ,      22
 5214.1  ,      26
 5238.4  ,      29
 5262.8  ,      27
 5287.2  ,      42
 5311.6  ,      45
 5336.0  ,      58
 5360.4  ,      65
 5384.7  ,      65
 5409.1  ,      63
 5433.5  ,      60
 5457.9  ,      46
 5482.3  ,      33
 5506.7  ,      35
 5531.0  ,      34
 5555.4  ,      26
 5579.8  ,      30
 5604.2  ,      31
 5628.6  ,      28
 5653.0  ,      33
 5677.3  ,      38
 5701.7  ,      26
 5726.1  ,      34
 5750.5  ,      38
 5774.9  ,      40
 5799.3  ,      50
 5823.6  ,      44
 5848.0  ,      64
