"Target: Hopeman_raster1, Contains DAT files: APB_576661505ESC20180691648_______M1.DAT"
  483.1  ,     968
  507.5  ,       0
  531.9  ,       0
  556.3  ,       0
  580.7  ,       0
  605.1  ,     111
  629.5  ,       0
  653.9  ,      62
  678.3  ,     186
  702.7  ,     192
  727.1  ,     176
  751.5  ,     169
  775.9  ,     173
  800.3  ,     169
  824.7  ,     162
  849.1  ,     176
  873.5  ,     196
  897.9  ,     171
  922.3  ,     231
  946.7  ,     341
  971.1  ,     470
  995.5  ,     759
 1019.9  ,     856
 1044.3  ,     838
 1068.7  ,     600
 1093.1  ,     471
 1117.5  ,     342
 1141.9  ,     387
 1166.3  ,     573
 1190.7  ,     898
 1215.1  ,    1469
 1239.5  ,    1697
 1263.9  ,    1496
 1288.3  ,    1029
 1312.7  ,     703
 1337.1  ,     508
 1361.5  ,     541
 1385.9  ,     936
 1410.3  ,    1740
 1434.7  ,    3067
 1459.1  ,    4324
 1483.5  ,    4427
 1507.9  ,    3554
 1532.3  ,    2238
 1556.7  ,    1320
 1581.1  ,     880
 1605.5  ,     979
 1629.9  ,    1918
 1654.3  ,    4027
 1678.7  ,    7274
 1703.1  ,   10710
 1727.5  ,   12450
 1751.9  ,   11190
 1776.3  ,    7614
 1800.7  ,    4101
 1825.1  ,    2053
 1849.5  ,     954
 1873.9  ,     589
 1898.3  ,     390
 1922.7  ,     289
 1947.1  ,     257
 1971.5  ,     287
 1995.9  ,     295
 2020.3  ,     312
 2044.7  ,     270
 2069.1  ,     161
 2093.5  ,     134
 2117.9  ,     139
 2142.3  ,     121
 2166.7  ,     142
 2191.1  ,     231
 2215.5  ,     375
 2239.9  ,     597
 2264.3  ,     923
 2288.7  ,    1100
 2313.1  ,    1102
 2337.5  ,     783
 2361.9  ,     520
 2386.3  ,     301
 2410.7  ,     175
 2435.1  ,     151
 2459.5  ,     118
 2483.9  ,      98
 2508.3  ,     148
 2532.7  ,     194
 2557.1  ,     238
 2581.5  ,     307
 2605.9  ,     316
 2630.3  ,     315
 2654.7  ,     266
 2679.1  ,     185
 2703.5  ,     106
 2727.9  ,      59
 2752.3  ,      54
 2776.7  ,      56
 2801.1  ,      60
 2825.5  ,      55
 2849.9  ,      54
 2874.3  ,      55
 2898.7  ,      60
 2923.1  ,      40
 2947.5  ,      57
 2971.9  ,      44
 2996.3  ,      49
 3020.7  ,      38
 3045.1  ,      33
 3069.5  ,      28
 3093.9  ,      28
 3118.3  ,      30
 3142.7  ,      40
 3167.1  ,      45
 3191.5  ,      38
 3215.9  ,      67
 3240.3  ,     119
 3264.7  ,     162
 3289.1  ,     166
 3313.5  ,     174
 3337.9  ,     141
 3362.3  ,     117
 3386.7  ,      71
 3411.1  ,      56
 3435.5  ,      46
 3459.9  ,      48
 3484.3  ,      63
 3508.7  ,      71
 3533.1  ,     114
 3557.5  ,     185
 3581.9  ,     338
 3606.4  ,     525
 3630.8  ,     800
 3655.2  ,    1108
 3679.6  ,    1104
 3704.0  ,    1023
 3728.4  ,     786
 3752.8  ,     491
 3777.2  ,     303
 3801.6  ,     124
 3826.0  ,      63
 3850.4  ,      41
 3874.8  ,      33
 3899.2  ,      67
 3923.6  ,      78
 3948.0  ,     100
 3972.4  ,     152
 3996.8  ,     150
 4021.2  ,     137
 4045.6  ,     126
 4070.0  ,     104
 4094.4  ,      58
 4118.8  ,      34
 4143.2  ,      25
 4167.6  ,      26
 4192.0  ,      24
 4216.4  ,      27
 4240.8  ,      18
 4265.2  ,      19
 4289.6  ,      25
 4314.0  ,      21
 4338.4  ,      15
 4362.8  ,      27
 4387.2  ,      45
 4411.6  ,      58
 4436.0  ,      88
 4460.4  ,     107
 4484.8  ,     105
 4509.2  ,     112
 4533.6  ,     102
 4558.0  ,      72
 4582.4  ,      53
 4606.8  ,      44
 4631.2  ,      35
 4655.6  ,      35
 4680.0  ,      25
 4704.4  ,      23
 4728.8  ,      16
 4753.2  ,      14
 4777.6  ,      23
 4802.0  ,      24
 4826.4  ,      24
 4850.8  ,      31
 4875.2  ,      27
 4899.6  ,      38
 4924.0  ,      24
 4948.4  ,      25
 4972.8  ,      30
 4997.2  ,      30
 5021.6  ,      17
 5046.0  ,      26
 5070.4  ,      25
 5094.8  ,      22
 5119.2  ,      18
 5143.6  ,      16
 5168.0  ,      18
 5192.4  ,      17
 5216.8  ,      28
 5241.2  ,      20
 5265.6  ,      19
 5290.0  ,      25
 5314.4  ,      32
 5338.8  ,      21
 5363.2  ,      30
 5387.6  ,      34
 5412.0  ,      35
 5436.4  ,      30
 5460.8  ,      31
 5485.2  ,      34
 5509.6  ,      17
 5534.0  ,      23
 5558.4  ,      21
 5582.8  ,      25
 5607.2  ,      23
 5631.6  ,      28
 5656.0  ,      27
 5680.4  ,      29
 5704.8  ,      19
 5729.2  ,      44
 5753.6  ,      41
 5778.0  ,      53
 5802.4  ,      54
 5826.8  ,      68
 5851.2  ,      79
 5875.6  ,      93
