"Target: Askival_raster3, Contains DAT files: APB_576668225ESC20180691648_______M1.DAT"
  484.4  ,     720
  508.8  ,       0
  533.2  ,       0
  557.6  ,       0
  582.1  ,       0
  606.5  ,     111
  630.9  ,       5
  655.3  ,     130
  679.7  ,     153
  704.1  ,     177
  728.5  ,     156
  752.9  ,     135
  777.4  ,     151
  801.8  ,     118
  826.2  ,     154
  850.6  ,     133
  875.0  ,     164
  899.4  ,     181
  923.8  ,     170
  948.3  ,     229
  972.7  ,     322
  997.1  ,     571
 1021.5  ,     687
 1045.9  ,     666
 1070.3  ,     483
 1094.7  ,     311
 1119.1  ,     223
 1143.6  ,     262
 1168.0  ,     344
 1192.4  ,     533
 1216.8  ,     777
 1241.2  ,     945
 1265.6  ,     815
 1290.0  ,     608
 1314.5  ,     387
 1338.9  ,     326
 1363.3  ,     365
 1387.7  ,     609
 1412.1  ,    1157
 1436.5  ,    2176
 1460.9  ,    3043
 1485.3  ,    3151
 1509.8  ,    2445
 1534.2  ,    1538
 1558.6  ,     908
 1583.0  ,     677
 1607.4  ,     922
 1631.8  ,    1952
 1656.2  ,    4547
 1680.7  ,    9529
 1705.1  ,   14951
 1729.5  ,   17238
 1753.9  ,   14447
 1778.3  ,    9057
 1802.7  ,    4462
 1827.1  ,    1873
 1851.5  ,     884
 1876.0  ,     484
 1900.4  ,     340
 1924.8  ,     244
 1949.2  ,     217
 1973.6  ,     216
 1998.0  ,     229
 2022.4  ,     233
 2046.9  ,     168
 2071.3  ,     106
 2095.7  ,     105
 2120.1  ,      83
 2144.5  ,      89
 2168.9  ,     103
 2193.3  ,     182
 2217.8  ,     307
 2242.2  ,     557
 2266.6  ,     879
 2291.0  ,    1108
 2315.4  ,     978
 2339.8  ,     694
 2364.2  ,     379
 2388.6  ,     214
 2413.1  ,     104
 2437.5  ,      89
 2461.9  ,     101
 2486.3  ,     105
 2510.7  ,      86
 2535.1  ,     109
 2559.5  ,     147
 2584.0  ,     181
 2608.4  ,     223
 2632.8  ,     196
 2657.2  ,     133
 2681.6  ,      76
 2706.0  ,      47
 2730.4  ,      36
 2754.8  ,      18
 2779.3  ,      28
 2803.7  ,      34
 2828.1  ,      34
 2852.5  ,      23
 2876.9  ,      39
 2901.3  ,      40
 2925.7  ,      29
 2950.2  ,      39
 2974.6  ,      28
 2999.0  ,      28
 3023.4  ,      32
 3047.8  ,      21
 3072.2  ,      19
 3096.6  ,      25
 3121.0  ,      27
 3145.5  ,      23
 3169.9  ,      29
 3194.3  ,      52
 3218.7  ,      70
 3243.1  ,     127
 3267.5  ,     167
 3291.9  ,     212
 3316.4  ,     203
 3340.8  ,     171
 3365.2  ,     103
 3389.6  ,      68
 3414.0  ,      51
 3438.4  ,      37
 3462.8  ,      39
 3487.2  ,      44
 3511.7  ,      58
 3536.1  ,      59
 3560.5  ,     124
 3584.9  ,     188
 3609.3  ,     364
 3633.7  ,     532
 3658.1  ,     701
 3682.6  ,     752
 3707.0  ,     584
 3731.4  ,     461
 3755.8  ,     255
 3780.2  ,     127
 3804.6  ,      50
 3829.0  ,      32
 3853.4  ,      24
 3877.9  ,      20
 3902.3  ,      35
 3926.7  ,      50
 3951.1  ,      62
 3975.5  ,      84
 3999.9  ,      90
 4024.3  ,     108
 4048.8  ,      67
 4073.2  ,      50
 4097.6  ,      36
 4122.0  ,      27
 4146.4  ,      10
 4170.8  ,      17
 4195.2  ,      15
 4219.6  ,      10
 4244.1  ,      10
 4268.5  ,      12
 4292.9  ,      11
 4317.3  ,      11
 4341.7  ,      22
 4366.1  ,      16
 4390.5  ,      25
 4415.0  ,      38
 4439.4  ,      39
 4463.8  ,      65
 4488.2  ,      81
 4512.6  ,      59
 4537.0  ,      60
 4561.4  ,      31
 4585.8  ,      32
 4610.3  ,      18
 4634.7  ,       8
 4659.1  ,      17
 4683.5  ,      19
 4707.9  ,      11
 4732.3  ,       8
 4756.7  ,      13
 4781.2  ,      13
 4805.6  ,      12
 4830.0  ,      17
 4854.4  ,      14
 4878.8  ,      21
 4903.2  ,      19
 4927.6  ,      17
 4952.1  ,      11
 4976.5  ,      12
 5000.9  ,      12
 5025.3  ,      10
 5049.7  ,      10
 5074.1  ,       5
 5098.5  ,      10
 5122.9  ,      11
 5147.4  ,      11
 5171.8  ,       8
 5196.2  ,      12
 5220.6  ,       8
 5245.0  ,       6
 5269.4  ,      15
 5293.8  ,      13
 5318.3  ,       8
 5342.7  ,      14
 5367.1  ,      17
 5391.5  ,       9
 5415.9  ,      28
 5440.3  ,      13
 5464.7  ,      18
 5489.1  ,       7
 5513.6  ,      13
 5538.0  ,       9
 5562.4  ,      12
 5586.8  ,       9
 5611.2  ,       9
 5635.6  ,      13
 5660.0  ,      12
 5684.5  ,      10
 5708.9  ,      19
 5733.3  ,      11
 5757.7  ,      16
 5782.1  ,      17
 5806.5  ,      19
 5830.9  ,      39
 5855.3  ,      44
 5879.8  ,      40
 5904.2  ,      35
 5928.6  ,      27
 5953.0  ,      38
 5977.4  ,      20
 6001.8  ,      21
 6026.2  ,      21
 6050.7  ,      12
 6075.1  ,      14
 6099.5  ,      14
 6123.9  ,      17
 6148.3  ,      21
 6172.7  ,      31
 6197.1  ,      43
 6221.5  ,      82
 6246.0  ,     133
 6270.4  ,     237
 6294.8  ,     452
 6319.2  ,     711
 6343.6  ,     913
 6368.0  ,    1088
 6392.4  ,    1007
 6416.9  ,     903
 6441.3  ,     698
 6465.7  ,     453
 6490.1  ,     242
 6514.5  ,     124
 6538.9  ,      56
 6563.3  ,      29
 6587.7  ,      16
 6612.2  ,      15
 6636.6  ,       6
 6661.0  ,       5
 6685.4  ,      14
 6709.8  ,      18
 6734.2  ,       5
 6758.6  ,       8
 6783.1  ,       6
 6807.5  ,      12
 6831.9  ,      10
 6856.3  ,      14
 6880.7  ,      34
 6905.1  ,      36
 6929.5  ,      65
 6953.9  ,      83
 6978.4  ,     123
 7002.8  ,     160
 7027.2  ,     143
 7051.6  ,     158
 7076.0  ,     134
 7100.4  ,     106
 7124.8  ,      74
 7149.3  ,      43
 7173.7  ,      31
 7198.1  ,      21
 7222.5  ,       8
 7246.9  ,       5
 7271.3  ,       6
 7295.7  ,       6
 7320.1  ,       8
 7344.6  ,       4
 7369.0  ,       7
 7393.4  ,      13
 7417.8  ,      14
 7442.2  ,       9
 7466.6  ,       8
 7491.0  ,       2
 7515.5  ,      10
 7539.9  ,       6
 7564.3  ,       9
 7588.7  ,       6
 7613.1  ,       5
 7637.5  ,       8
 7661.9  ,       8
 7686.4  ,       6
 7710.8  ,      10
 7735.2  ,       6
 7759.6  ,       6
 7784.0  ,       8
 7808.4  ,       9
 7832.8  ,       9
 7857.2  ,       9
 7881.7  ,      10
 7906.1  ,       7
 7930.5  ,      10
 7954.9  ,      12
 7979.3  ,      10
 8003.7  ,      12
 8028.1  ,      12
 8052.6  ,      15
