"Target: Waternish_raster4, Contains DAT files: APB_577021256ESC20220691768_______M1.DAT"
  484.3  ,     630
  508.7  ,       0
  533.1  ,       0
  557.5  ,       0
  581.9  ,       0
  606.3  ,     111
  630.7  ,       0
  655.1  ,      67
  679.5  ,     129
  703.8  ,     131
  728.2  ,     119
  752.6  ,     122
  777.0  ,     108
  801.4  ,      98
  825.8  ,     107
  850.2  ,     142
  874.6  ,     116
  899.0  ,     132
  923.4  ,     150
  947.8  ,     197
  972.2  ,     323
  996.6  ,     467
 1021.0  ,     616
 1045.4  ,     590
 1069.8  ,     487
 1094.2  ,     309
 1118.5  ,     213
 1142.9  ,     260
 1167.3  ,     425
 1191.7  ,     709
 1216.1  ,    1153
 1240.5  ,    1277
 1264.9  ,    1111
 1289.3  ,     804
 1313.7  ,     516
 1338.1  ,     345
 1362.5  ,     364
 1386.9  ,     659
 1411.3  ,    1259
 1435.7  ,    2200
 1460.1  ,    3016
 1484.5  ,    3064
 1508.9  ,    2491
 1533.2  ,    1583
 1557.6  ,     910
 1582.0  ,     607
 1606.4  ,     647
 1630.8  ,    1287
 1655.2  ,    2814
 1679.6  ,    5481
 1704.0  ,    7892
 1728.4  ,    8951
 1752.8  ,    7727
 1777.2  ,    5242
 1801.6  ,    2809
 1826.0  ,    1283
 1850.4  ,     608
 1874.8  ,     369
 1899.2  ,     233
 1923.6  ,     146
 1947.9  ,     139
 1972.3  ,     158
 1996.7  ,     162
 2021.1  ,     162
 2045.5  ,     139
 2069.9  ,      92
 2094.3  ,      80
 2118.7  ,      56
 2143.1  ,      68
 2167.5  ,      79
 2191.9  ,     118
 2216.3  ,     159
 2240.7  ,     283
 2265.1  ,     417
 2289.5  ,     502
 2313.9  ,     537
 2338.3  ,     361
 2362.6  ,     253
 2387.0  ,     138
 2411.4  ,      94
 2435.8  ,      58
 2460.2  ,      67
 2484.6  ,      65
 2509.0  ,     109
 2533.4  ,     130
 2557.8  ,     158
 2582.2  ,     248
 2606.6  ,     276
 2631.0  ,     224
 2655.4  ,     173
 2679.8  ,     134
 2704.2  ,      78
 2728.6  ,      35
 2753.0  ,      30
 2777.3  ,      38
 2801.7  ,      33
 2826.1  ,      50
 2850.5  ,      41
 2874.9  ,      35
 2899.3  ,      39
 2923.7  ,      23
 2948.1  ,      37
 2972.5  ,      32
 2996.9  ,      22
 3021.3  ,      25
 3045.7  ,      27
 3070.1  ,      23
 3094.5  ,      12
 3118.9  ,      12
 3143.3  ,      19
 3167.7  ,      29
 3192.0  ,      32
 3216.4  ,      49
 3240.8  ,      55
 3265.2  ,      74
 3289.6  ,      87
 3314.0  ,      88
 3338.4  ,      71
 3362.8  ,      59
 3387.2  ,      42
 3411.6  ,      31
 3436.0  ,      29
 3460.4  ,      29
 3484.8  ,      42
 3509.2  ,      39
 3533.6  ,      71
 3558.0  ,      99
 3582.4  ,     168
 3606.7  ,     312
 3631.1  ,     419
 3655.5  ,     579
 3679.9  ,     586
 3704.3  ,     539
 3728.7  ,     427
 3753.1  ,     264
 3777.5  ,     153
 3801.9  ,      70
 3826.3  ,      30
 3850.7  ,      22
 3875.1  ,      23
 3899.5  ,      28
 3923.9  ,      35
 3948.3  ,      61
 3972.7  ,      86
 3997.1  ,      79
 4021.4  ,      89
 4045.8  ,      62
 4070.2  ,      41
 4094.6  ,      40
 4119.0  ,      17
 4143.4  ,      27
 4167.8  ,      22
 4192.2  ,      14
 4216.6  ,      14
 4241.0  ,      11
 4265.4  ,      21
 4289.8  ,      15
 4314.2  ,      12
 4338.6  ,      19
 4363.0  ,      19
 4387.4  ,      29
 4411.8  ,      45
 4436.1  ,      58
 4460.5  ,      68
 4484.9  ,      83
 4509.3  ,      72
 4533.7  ,      72
 4558.1  ,      55
 4582.5  ,      43
 4606.9  ,      42
 4631.3  ,      23
 4655.7  ,      28
 4680.1  ,      21
 4704.5  ,      29
 4728.9  ,      20
 4753.3  ,       8
 4777.7  ,      21
 4802.1  ,      20
 4826.5  ,      22
 4850.9  ,      19
 4875.2  ,      18
 4899.6  ,      15
 4924.0  ,      21
 4948.4  ,      26
 4972.8  ,      29
 4997.2  ,      22
 5021.6  ,      14
 5046.0  ,       8
 5070.4  ,      14
 5094.8  ,      11
 5119.2  ,      10
 5143.6  ,      14
 5168.0  ,      23
 5192.4  ,      17
 5216.8  ,      15
 5241.2  ,      17
 5265.6  ,      16
 5289.9  ,      20
 5314.3  ,      32
 5338.7  ,      29
 5363.1  ,      23
 5387.5  ,      32
 5411.9  ,      28
 5436.3  ,      19
 5460.7  ,      21
 5485.1  ,      33
 5509.5  ,      17
 5533.9  ,      25
 5558.3  ,      18
 5582.7  ,      16
 5607.1  ,      16
 5631.5  ,      14
 5655.9  ,      15
 5680.3  ,      22
 5704.6  ,      25
 5729.0  ,      31
 5753.4  ,      27
 5777.8  ,      36
 5802.2  ,      41
 5826.6  ,      48
 5851.0  ,      57
 5875.4  ,      73
 5899.8  ,      62
 5924.2  ,      62
 5948.6  ,      54
 5973.0  ,      44
 5997.4  ,      31
 6021.8  ,      42
 6046.2  ,      43
 6070.6  ,      42
 6095.0  ,      48
 6119.3  ,      60
 6143.7  ,      67
 6168.1  ,      71
 6192.5  ,     130
 6216.9  ,     243
 6241.3  ,     449
 6265.7  ,     851
 6290.1  ,    1401
 6314.5  ,    2203
 6338.9  ,    2940
 6363.3  ,    3463
 6387.7  ,    3447
 6412.1  ,    3157
 6436.5  ,    2550
 6460.9  ,    1599
 6485.3  ,    1001
 6509.7  ,     506
 6534.0  ,     219
 6558.4  ,      75
 6582.8  ,      44
 6607.2  ,      31
 6631.6  ,      26
 6656.0  ,      20
 6680.4  ,      24
 6704.8  ,      16
 6729.2  ,      22
 6753.6  ,      20
 6778.0  ,      25
 6802.4  ,      37
 6826.8  ,      31
 6851.2  ,      39
 6875.6  ,      70
 6900.0  ,      96
 6924.4  ,     151
 6948.7  ,     245
 6973.1  ,     350
 6997.5  ,     498
 7021.9  ,     551
 7046.3  ,     521
 7070.7  ,     472
 7095.1  ,     384
 7119.5  ,     255
 7143.9  ,     144
 7168.3  ,      93
 7192.7  ,      56
 7217.1  ,      23
 7241.5  ,      10
 7265.9  ,      10
 7290.3  ,      10
 7314.7  ,       8
 7339.1  ,       6
 7363.4  ,       9
 7387.8  ,       9
 7412.2  ,       7
 7436.6  ,       6
 7461.0  ,      16
 7485.4  ,      19
 7509.8  ,       8
 7534.2  ,       5
 7558.6  ,       7
 7583.0  ,       6
 7607.4  ,       3
 7631.8  ,       4
 7656.2  ,       4
 7680.6  ,       8
 7705.0  ,       6
 7729.4  ,       6
 7753.8  ,       7
 7778.1  ,       9
 7802.5  ,       6
 7826.9  ,       9
 7851.3  ,       5
 7875.7  ,       8
 7900.1  ,       4
 7924.5  ,       3
 7948.9  ,       7
 7973.3  ,       8
 7997.7  ,       9
 8022.1  ,       9
 8046.5  ,       6
 8070.9  ,       3
 8095.3  ,       4
 8119.7  ,       6
 8144.1  ,       1
 8168.5  ,       4
 8192.8  ,       2
 8217.2  ,       5
 8241.6  ,      10
 8266.0  ,       2
 8290.4  ,       5
 8314.8  ,       4
 8339.2  ,       5
 8363.6  ,       6
 8388.0  ,       8
 8412.4  ,       5
 8436.8  ,       9
 8461.2  ,       9
 8485.6  ,      11
 8510.0  ,      12
 8534.4  ,      19
 8558.8  ,      14
 8583.2  ,      23
 8607.5  ,      26
 8631.9  ,      24
 8656.3  ,      25
 8680.7  ,      19
 8705.1  ,      10
 8729.5  ,      13
 8753.9  ,       6
 8778.3  ,      12
 8802.7  ,       6
 8827.1  ,       2
 8851.5  ,       5
 8875.9  ,       4
 8900.3  ,       5
 8924.7  ,       6
 8949.1  ,       3
 8973.5  ,       4
 8997.9  ,      11
 9022.2  ,       5
 9046.6  ,       4
 9071.0  ,       4
 9095.4  ,       3
 9119.8  ,       5
 9144.2  ,       1
 9168.6  ,       6
 9193.0  ,       4
 9217.4  ,       7
 9241.8  ,       6
 9266.2  ,       7
 9290.6  ,       7
 9315.0  ,      11
 9339.4  ,       8
 9363.8  ,       7
 9388.2  ,       7
 9412.6  ,       3
