"Target: Tursac, Contains DAT files: APB_670558295ESC30760871078_______M1.DAT"
  483.1  ,     660
  507.5  ,       0
  531.9  ,       0
  556.2  ,       0
  580.6  ,       0
  605.0  ,     111
  629.4  ,       0
  653.7  ,       2
  678.1  ,      80
  702.5  ,      72
  726.9  ,      76
  751.3  ,      65
  775.6  ,      81
  800.0  ,      83
  824.4  ,      77
  848.8  ,      59
  873.2  ,      60
  897.5  ,      63
  921.9  ,     105
  946.3  ,     120
  970.7  ,     163
  995.0  ,     231
 1019.4  ,     264
 1043.8  ,     273
 1068.2  ,     211
 1092.6  ,     160
 1116.9  ,     146
 1141.3  ,     182
 1165.7  ,     282
 1190.1  ,     421
 1214.5  ,     583
 1238.8  ,     657
 1263.2  ,     677
 1287.6  ,     491
 1312.0  ,     394
 1336.3  ,     244
 1360.7  ,     225
 1385.1  ,     349
 1409.5  ,     680
 1433.9  ,    1099
 1458.2  ,    1318
 1482.6  ,    1372
 1507.0  ,    1212
 1531.4  ,     935
 1555.7  ,     551
 1580.1  ,     443
 1604.5  ,     539
 1628.9  ,    1006
 1653.3  ,    1987
 1677.6  ,    3451
 1702.0  ,    4905
 1726.4  ,    5510
 1750.8  ,    4979
 1775.2  ,    3718
 1799.5  ,    2299
 1823.9  ,    1145
 1848.3  ,     585
 1872.7  ,     275
 1897.0  ,     211
 1921.4  ,     134
 1945.8  ,     101
 1970.2  ,     115
 1994.6  ,     117
 2018.9  ,      86
 2043.3  ,      83
 2067.7  ,      54
 2092.1  ,      51
 2116.5  ,      55
 2140.8  ,      72
 2165.2  ,      73
 2189.6  ,     112
 2214.0  ,     158
 2238.3  ,     271
 2262.7  ,     363
 2287.1  ,     421
 2311.5  ,     420
 2335.9  ,     370
 2360.2  ,     248
 2384.6  ,     136
 2409.0  ,      83
 2433.4  ,      64
 2457.8  ,      48
 2482.1  ,      62
 2506.5  ,      65
 2530.9  ,     107
 2555.3  ,     110
 2579.6  ,     136
 2604.0  ,     168
 2628.4  ,     172
 2652.8  ,     142
 2677.2  ,      90
 2701.5  ,      69
 2725.9  ,      35
 2750.3  ,      33
 2774.7  ,      21
 2799.0  ,      32
 2823.4  ,      20
 2847.8  ,      32
 2872.2  ,      32
 2896.6  ,      23
 2920.9  ,      22
 2945.3  ,      21
 2969.7  ,      19
 2994.1  ,      23
 3018.5  ,      20
 3042.8  ,      18
 3067.2  ,      15
 3091.6  ,      15
 3116.0  ,      16
 3140.3  ,      15
 3164.7  ,      18
 3189.1  ,      25
 3213.5  ,      34
 3237.9  ,      59
 3262.2  ,      62
 3286.6  ,      78
 3311.0  ,      90
 3335.4  ,      79
 3359.8  ,      61
 3384.1  ,      35
 3408.5  ,      26
 3432.9  ,      16
 3457.3  ,      19
 3481.6  ,      24
 3506.0  ,      25
 3530.4  ,      38
 3554.8  ,      73
 3579.2  ,      94
 3603.5  ,     148
