"Target: Chanterac_2, Contains DAT files: APB_679908504ESC31810891992_______M1.DAT"
  478.7  ,    1029
  503.2  ,       0
  527.6  ,       0
  552.1  ,       0
  576.5  ,       0
  601.0  ,     111
  625.4  ,      29
  649.9  ,      48
  674.3  ,      54
  698.8  ,      57
  723.2  ,      47
  747.7  ,      46
  772.2  ,      43
  796.6  ,      51
  821.1  ,      50
  845.5  ,      51
  870.0  ,      43
  894.4  ,      65
  918.9  ,      57
  943.3  ,      63
  967.8  ,      90
  992.3  ,     126
 1016.7  ,     179
 1041.2  ,     185
 1065.6  ,     141
 1090.1  ,      86
 1114.5  ,     102
 1139.0  ,      98
 1163.4  ,     155
 1187.9  ,     303
 1212.3  ,     521
 1236.8  ,     698
 1261.3  ,     607
 1285.7  ,     416
 1310.2  ,     227
 1334.6  ,     154
 1359.1  ,     117
 1383.5  ,     155
 1408.0  ,     300
 1432.4  ,     521
 1456.9  ,     794
 1481.3  ,     915
 1505.8  ,     736
 1530.3  ,     408
 1554.7  ,     258
 1579.2  ,     173
 1603.6  ,     200
 1628.1  ,     337
 1652.5  ,     832
 1677.0  ,    1761
 1701.4  ,    2904
 1725.9  ,    3517
 1750.4  ,    2949
 1774.8  ,    1979
 1799.3  ,     973
 1823.7  ,     442
 1848.2  ,     216
 1872.6  ,     138
 1897.1  ,      95
 1921.5  ,      67
 1946.0  ,      62
 1970.4  ,      86
 1994.9  ,      88
 2019.4  ,      85
 2043.8  ,      62
 2068.3  ,      53
 2092.7  ,      43
 2117.2  ,      38
 2141.6  ,      38
 2166.1  ,      42
 2190.5  ,      69
 2215.0  ,     126
 2239.4  ,     223
 2263.9  ,     355
 2288.4  ,     416
 2312.8  ,     448
 2337.3  ,     321
 2361.7  ,     181
 2386.2  ,      96
 2410.6  ,      55
 2435.1  ,      43
 2459.5  ,      31
 2484.0  ,      48
 2508.5  ,      40
 2532.9  ,      44
 2557.4  ,      37
 2581.8  ,      54
 2606.3  ,      73
 2630.7  ,      70
 2655.2  ,      50
 2679.6  ,      29
 2704.1  ,      26
 2728.5  ,      15
 2753.0  ,      21
 2777.5  ,      16
 2801.9  ,      16
 2826.4  ,      21
 2850.8  ,      26
 2875.3  ,      34
 2899.7  ,      24
 2924.2  ,      38
 2948.6  ,      34
 2973.1  ,      30
 2997.5  ,      27
 3022.0  ,      25
 3046.5  ,      13
 3070.9  ,       9
 3095.4  ,      10
 3119.8  ,      10
 3144.3  ,      16
 3168.7  ,      11
 3193.2  ,      20
 3217.6  ,      26
 3242.1  ,      26
